,Supplier,Recipient,No,Weapon,Description,Year,Year(s),Delivered,Comments
2436,Czechoslovakia,     Romania,580,M-51 130mm,Self-propelled MRL,1955,1956-1965,580,Romanian designation R-2
2439,Czechoslovakia,     Soviet Union,450,Yak-11,Trainer aircraft,1952,1953-1956,450,Soviet design produced in Czechoslovakia for Soviet Union
2449,Czechoslovakia,     Sri Lanka,27,T-55,Tank,1991,1991,27,Second-hand
2450,Czechoslovakia,     Sudan,25,OT-62A TOPAS,APC,1968,1968,25,
2452,Czechoslovakia,     Switzerland,90,PzJ-38(t) Hetzer,Self-propelled gun,1946,1950-1952,90,Swiss designation Panzerjger G-13
2453,Czechoslovakia,     Syria,77,L-29 Delfin,Trainer aircraft,1965,1965-1972,77,
2459,Czechoslovakia,     Uganda,14,L-29 Delfin,Trainer aircraft,1965,1967-1969,14,
2463,Czechoslovakia,     Viet Nam,10,Z-226,Trainer aircraft,1960,1961,10,
2468,Czechoslovakia,     Yugoslavia,789,M-53/59 Praga,SPAAG,1967,1969-1976,789,
2469,Czechoslovakia,     Zimbabwe,52,RM-70 122mm,Self-propelled MRL,1991,1991-1992,52,No. delivered could be 60
2472,Denmark, Greece,2,Osprey-55,OPV,1988,1990,2,Greek designation Armatolos; produced in Greece; options on more not used
2473,Denmark,     India,31,Scanter-6000,Air/sea search radar,2017,,,Scanter-6002 version; incl production in India; delivery planned by 2026
2474,Denmark,     Algeria,2,Scanter-6000,Air/sea search radar,2012,2014-2015,2,For modernization of 2 LSL landing ships; Scanter-6002 version
2475,Denmark,     Australia,12,Scanter-6000,Air/sea search radar,2018,,,Scanter-6002 version; for 12 OPV-80 (Sea-1180 Phase-1) OPV from Germany
2476,Denmark,     Brazil,3,Scanter-4100,Air/sea search radar,2011,2012-2013,3,For 3 VT-90M OPV from UK
2477,Denmark,     Brunei,3,Scanter-4100,Air/sea search radar,2007,2011,3,For 3 OPV-80 (Darussalam) corvettes from FRG
2479,Denmark,     Canada,10,Sperwer,UAV,2006,2007,10,Second-hand (only few years old); for use in Afghanistan
2480,Denmark,     Chile,1,Araucano,Support ship,1964,1967,1,
2484,Denmark,     Colombia,5,Scanter-2001,Sea search radar,2008,2012-2014,5,For 1 OPV-80 OPV from FRG and modernization of 4 FS-1500 (Padilla) frigates
2486,Denmark,     Equatorial Guinea,1,Daphne,Patrol craft,1999,1999,1,Second-hand
2487,Denmark,     Estonia,1,Maagen,Patrol craft,1994,1994,1,Second-hand; Estonian designation Ahti
2489,Denmark,     Finland,2,TASS-SLAR,MP aircraft radar,1992,1994,2,For Do-228 MP aircraft from FRG; for border guard
2492,Denmark,     France,16,Scanter-2001,Sea search radar,2007,2012-2019,12,For 8 FREMM frigates produced in France
2495,Denmark,     Germany,4,F-100D Super Sabre,FGA aircraft,1983,1983,4,Second-hand; owned and operated by civilian company for target-towing for FRG armed forces
2496,Denmark,     Greece,17,AIM-7M Sparrow,BVRAAM,2014,2015,17,Second-hand; RIM-7M Sea Sparrow (SAM) version
2497,Denmark,     Iceland,1,Odinn,OPV,1958,1960,1,
2500,Denmark,     Indonesia,2,B&W-8L,Diesel engine,2000,2003,2,For 1 LPD-122m (Soeharso) landing ship from South Korea
2504,Denmark,     Iraq,3,Al Zahraa,Landing ship,1980,1983,3,
2505,Denmark,     Israel,1,Pointer,Sea search radar,1967,1968,1,
2506,Denmark,     Latvia,50,FIM-92 Stinger,Portable SAM,2017,2018,50,Second-hand
2507,Denmark,     Lithuania,54,M-101A1 105mm,Towed gun,2001,2002,54,Second-hand; aid; 18 more for spares only
2510,Denmark,     Malaysia,4,MAN-9L27,Diesel engine,2011,2017-2018,4,For 4 Gagah Samudera OPV/training ships from South Korea
2512,Denmark,     Mexico,8,Scanter-2001,Sea search radar,1998,1998-2003,8,For 4 Sierra and 4 Durango OPV produced in Mexico
2517,Denmark,     Morocco,2,Osprey Mk-2,Patrol craft,1986,1987-1988,2,Moroccan designation Al Hafiq
2519,Denmark,     Myanmar,3,Osprey-50,Patrol craft,1978,1980-1982,3,Myanmarese designation Indaw; officially owned by Department of Fisheries and operated by navy
2521,Denmark,     Netherlands,2,B&W-16V40/45,Diesel engine,1991,1995,2,For 1 Amsterdam support ship produced in Netherlands
2523,Denmark,     New Zealand,1,B&W-12V32,Diesel engine,1986,1988,1,For 1 Endeavour support ship from South Korea
2525,Denmark,     Norway,,MFSR-2100/33,Air search radar,2017,,,For MGBADS SAM system produced in Norway
2526,Denmark,     Oman,4,Terma-9000,MP aircraft radar,2012,2015-2016,4,For 4 C-295MPA MP aircraft from Spain
2527,Denmark,     Portugal,18,AIM-7M Sparrow,BVRAAM,2014,2015,18,Second-hand; RIM-7M Sea Sparrow (SAM) version
2529,Denmark,     Senegal,1,Osprey Mk-2,Patrol craft,1985,1987,1,Senegalese designation Fouta
2530,Denmark,     Singapore,12,Scanter-2001,Sea search radar,2002,2007-2009,12,For 6 La Fayette (Formidable) frigates from France
2531,Denmark,     South Africa,1,Annam,Tanker,1965,1965,1,Second-hand; South African designation Tafelberg
2532,Denmark,     Spain,2,B&W-16V40/45,Diesel engine,1991,1995,2,For 1 Patino support ship produced in Spain
2533,Denmark,     Sweden,20,Pointer,Sea search radar,1966,1967-1969,20,Specially developed for Sweden
2535,Denmark,     Taiwan,18,F-104G Starfighter,FGA aircraft,1986,1987,18,Second-hand Danish aircraft returned to US ownership and sold to Taiwanl; incl 3 TF-104G version
2536,Denmark,     Thailand,1,Scanter-4100,Air/sea search radar,2008,2012,1,For 1 Endurance landing ship from Singapore
2538,Denmark,     Turkey,1,Falster,Minelayer,1962,1964,1,Turkish designation Nusret
2541,Denmark,     UAE,6,Scanter-2001,Sea search radar,2004,2011-2017,6,For 6 Baynunah corvettes from France
2542,Denmark,     Ukraine,3,StanFlex-300,FAC/MCM ship,2017,,,Second-hand
2543,Denmark,     United Kingdom,1,Scanter-4100,Air/sea search radar,2005,2006,1,For 1 Clyde (River) OPV produced in UK
2544,Denmark,     United States,5,Estelle Maersk,Cargo ship,1993,1993-1994,5,Second-hand; US designation Cpl Louis Hauge; for use with Maritime Prepositioning Force carrying US military equipment
2550,Dominican Republic, Colombia,2,A-37B Dragonfly,Ground attack ac,2017,2017,2,Second-hand; OA-37B version
2553,DR Congo, France,2,C-130H Hercules,Transport aircraft,1997,1997,2,Second-hand
2554,DR Congo,     United Kingdom,1,Jetstream,Light transport ac,1978,1979,1,Second-hand; modified in UK to Jetstream T-2 for training
2557,East Germany (GDR), Albania,2,Il-14,Transport aircraft,1963,1963,2,Second-hand; VEP-14P version
2558,East Germany (GDR),     Bulgaria,1,Type-700,Tug,1963,1964,1,Bulgarian designation Jupiter
2559,East Germany (GDR),     Ethiopia,60,T-54,Tank,1978,1979-1980,60,Second-hand; designation uncertain
2561,East Germany (GDR),     Guinea-Bissau,8,MiG-17,Fighter aircraft,1974,1974,8,Second-hand; aid; Lim-5 (MiG-17F) version; no. could be 10; possibly incl some from Soviet Union
2562,East Germany (GDR),     Iran,2,MiG-21PFM,Fighter aircraft,1989,1989,2,"Second-hand; originally 16 planned incl 4 MiG-21U version, but only 2 delivered before German unification and rest cancelled"
2563,East Germany (GDR),     Iraq,50,T-55,Tank,1980,1981,50,Second-hand; incl some T-54s
2564,East Germany (GDR),     Mozambique,160,T-34-85,Tank,1977,1977-1980,160,Second-hand; supplier could be or incl Soviet Union or other Warsaw Pact countries
2567,East Germany (GDR),     PLO (Israel)*,10,M-46 130mm,Towed gun,1982,1982,10,"Second-hand; deal worth $920,000"
2568,East Germany (GDR),     Soviet Union,15,Okean,SIGINT ship,1958,1960-1965,15,
2571,East Germany (GDR),     Tanzania,32,T-54,Tank,1979,1979-1980,32,Supplier uncertain; probably Second-hand
2572,East Germany (GDR),     Viet Nam,8,An-24,Transport aircraft,1975,1976-1977,8,Second-hand
2575,Ecuador, Uruguay,3,A-37B Dragonfly,Ground attack ac,2014,2014,3,Second-hand; 3 more delivered for spare parts only
2579,Egypt, African Union**,10,Fahd,APC,2019,2019,10,African Union Mission in Somalia (AMISOM)
2580,Egypt,     Algeria,12,Bu-181 Bestmann,Trainer aircraft,1962,1963,12,Gomhouria version
2586,Egypt,     Bangladesh,30,T-54,Tank,1975,1975,30,Second-hand; aid
2588,Egypt,     Bosnia-Herzegovina,12,D-30 122mm,Towed gun,1996,1996,12,Second-hand; aid; D-30M version
2591,Egypt,     Burundi,6,Walid,APC,1981,1982,6,
2592,Egypt,     Cameroon,10,M-46 130mm,Towed gun,1982,1983,10,Second-hand
2593,Egypt,     Central African Republic,4,BRDM-2,Reconnaissance AV,1979,1980,4,Second-hand
2594,Egypt,     DR Congo,4,Fahd,APC,1985,1988,4,
2596,Egypt,     Iraq,100,Walid,APC,1979,1980,100,Status uncertain
2602,Egypt,     Jordan,3,Bu-181 Bestmann,Trainer aircraft,1955,1956,3,Aid; Gomhouria version
2604,Egypt,     Kuwait,10,Fahd,APC,1987,1988,10,
2607,Egypt,     Libya,2,Bu-181 Bestmann,Trainer aircraft,1959,1959,2,Aid; Gomhouria version
2609,Egypt,     Libya HoR,3,Mi-8T,Transport helicopter,2014,2014,3,Second-hand; aid
2611,Egypt,     Mali,5,Fahd,APC,1990,1990,5,
2612,Egypt,     Morocco,18,M-46 130mm,Towed gun,1980,1981,18,Supplier uncertain; second-hand
2615,Egypt,     Mujahedin (Afghanistan)*,150,Strela-2/SA-7,Portable SAM,1982,1982-1984,150,"Possibly second-hand; aid (incl funding by USA, Saudi Arabia and other Middle Eastern countries); delivered via Pakistan"
2617,Egypt,     Nigeria,4,Il-28,Bomber aircraft,1967,1968,4,Second-hand
2619,Egypt,     North Yemen,20,Walid,APC,1974,1975,20,
2620,Egypt,     Oman,6,Fahd,APC,1985,1988,6,No. could be up to 20
2622,Egypt,     Pakistan,,Mirage-5,FGA aircraft,2019,,,Second-hand
2623,Egypt,     Palestine,2,Mi-8T,Transport helicopter,1994,1994,2,Second-hand; incl for VIP transport; aid
2624,Egypt,     Rwanda,6,D-30 122mm,Towed gun,1992,1992,6,D-30M version
2625,Egypt,     Saudi Arabia,4,Vampire FB-5,Fighter aircraft,1956,1957,4,Second-hand; aid
2627,Egypt,     Somalia,2,Bu-181 Bestmann,Trainer aircraft,1960,1961,2,Aid; Gomhouria version
2634,Egypt,     Sudan,4,Bu-181 Bestmann,Trainer aircraft,1957,1957,4,Aid; Gomhouria version
2649,Egypt,     Syria,5,MiG-15,Fighter aircraft,1965,1966,5,Second-hand
2651,Egypt,     Togo,7,T-34-85,Tank,1982,1982,7,Second-hand
2652,Egypt,     United States,24,MiG-21MF,Fighter aircraft,1976,1977-1978,24,Second-hand; for technical evaluation and training
2654,Egypt,     Yemen Arab Republic,2,Il-14,Transport aircraft,1966,1967,2,Second-hand; aid
2657,Eritrea, SNA (Somalia)*,50,Strela-2/SA-7,Portable SAM,1998,1998,50,
2658,Eritrea,     Somalia,3,BRDM-2,Reconnaissance AV,1999,1999,3,Second-hand; possibly not delivered from but via Eritrea
2659,Eritrea,     UIC (Somalia)*,6,Igla/SA-18,Portable SAM,2006,2006,6,Second-hand
2662,Estonia, Iraq,12,M-43 120mm,Mortar,2015,2015,12,Second-hand; designation uncertain (reported as '120mm mortar'); aid
2663,Estonia,     Sweden,1,Shuleykin,Survey ship,1996,1996,1,Second-hand; for use as depot ship; Swedish designation Tross
2666,Ethiopia, Eritrea,1,Project-205/Osa,FAC,1996,1997,1,Second-hand; Project-205M (Osa-2) version
2667,Ethiopia,     Iran,7,F-5A Freedom Fighter,FGA aircraft,1985,1985,7,Second-hand; incl 2 F-5B version; part of $95 m deal
2669,Ethiopia,     South Yemen,3,Project-205/Osa,FAC,1987,1987,3,Second-hand (originally transfered from South Yemen to Ethiopia in 1986 and returned in 1987); Project-205M (Osa-2) version
2672,European Union**, Mali,1,Cessna-208 Caravan,Light transport ac,2018,2019,1,Second-hand; aid
2675,Europe multi-state, Spain,16,NH-90 TTH,Transport helicopter,2018,,,Part of EUR1.5 b deal (incl 7 NH-90 NFH version; incl production in Spain); selected 2018 but not yet ordered by end-2019
2679,Fiji, United Kingdom,1,BAC-1-11,Transport aircraft,1984,1984,1,Second-hand; for training
2682,Finland, UAE,5,AMV-IFV,IFV,2008,2008-2010,5,From Polish production line
2684,Finland,     Croatia,84,AMV,APC,2007,2008-2012,84,EUR170 m deal (incl EUR112 m for vehicles only)
2686,Finland,     Egypt,16,155-GH-52 155mm,Towed gun,1999,2000-2004,16,$17-21 m deal; incl assembly in Egypt; Egyptian designation 155 EH-52 or E52
2687,Finland,     Israel,100,M-73 120mm,Mortar,1965,1965-1970,100,Israeli designation M-65; incl for use on M-3 APC/mortar carrier
2689,Finland,     Italy,8,W-18,Diesel engine,1999,2001-2002,8,For 4 Commandante OPV produced in Italy
2690,Finland,     Netherlands,16,W-12,Diesel engine,1985,1991-1995,16,Produced in Netherlands for 8 Doorman frigates produced in Netherlands; W-12SW280 version
2693,Finland,     Poland,332,AMV,APC,2003,2004-2014,332,Part of PLN4.9 b ($1.45 b) 'Suhak' programme (incl $308 m for turrets from Italy; offsets 133% incl production of most in Poland); XC-360P version; incl command post and 32 reconnaissance version; Polish designation Rosomak
2697,Finland,     Slovenia,30,AMV,APC,2006,2009-2011,30,EUR75 m deal (original EUR278 m deal for 135 AMV reduced 2012 to 30)
2698,Finland,     South Africa,238,AMV-IFV,IFV,2013,,,ZAR8.8 b ($1.2 b) 'Hoefyster' programme (incl 222 produced in South Africa with up to 70% of vehicle incl turrets produced in South Africa); most IFV version; South African designation Badger; delivery planned from 2022
2699,Finland,     Sweden,113,AMV,APC,2010,2013-2014,113,"SEK2.5 b deal ($338 m; offsets 100% incl production of components in Sweden); incl 14 CP, 18 ambulance  and 7 ARV version; option on 113 more; Swedish designation Patgb-360"
2700,Finland,     Algeria,2,W-12,Diesel engine,2011,2014,2,For 1 BDSL AALS from Italy
2701,Finland,     Brazil,2,W-12,Diesel engine,1987,1991,2,For 1 Motta support ship produced in Brazil
2702,Finland,     Canada,48,UD-23,Diesel engine,1992,1996-1999,48,For 12 Kingston OPV/MCM ships produced in Canada
2703,Finland,     Chile,4,W-12,Diesel engine,2005,2008-2009,4,For 2 OPV-80 (Piloto Pardo) OPV from FRG
2706,Finland,     Colombia,2,Ruissalo,Patrol craft,1970,1971,2,For coast guard
2709,Finland,     Croatia,2,Helsinki,FAC,2008,2008,2,Second-hand; EUR9 m deal
2710,Finland,     Denmark,11,XA-180,APC,2001,2001-2002,11,Second-hand: XA-185 ambulance version; lease for use with Danish peacekeeping forces in Bosnia and Kosovo
2711,Finland,     Egypt,4,Project-205/Osa,FAC,2006,2006,4,Second-hand; Osa-2 version; Finnish designation Tuima; possibly for spare parts only
2714,Finland,     Eritrea,8,L-90TP Redigo,Trainer aircraft,1992,1994-1995,8,
2715,Finland,     Estonia,1,Kemio,Cargo ship,1992,1992,1,Second-hand; incl for use as patrol craft and training ship
2721,Finland,     France,6,W-16,Diesel engine,2000,2006-2007,6,For 2 Mistral landing ships produced in France
2725,Finland,     Germany,50,120mm Light Mortar,Mortar,1960,1961-1962,50,
2726,Finland,     Greece,4,W-16,Diesel engine,1990,1993-1994,4,For 2 Hellenic-56 (Pyrpolitis) OPV produced in Greece
2728,Finland,     Hungary,2,Mi-8T,Transport helicopter,2011,2011,2,Second-hand; aid
2729,Finland,     Ireland,2,XA-180,APC,1990,1991,2,For use by Irish UN forces
2735,Finland,     Italy,4,W-12,Diesel engine,2000,2003,4,For 2 Commandante OPV produced in Italy
2736,Finland,     Mexico,10,L-90TP Redigo,Trainer aircraft,1992,1992-1995,10,
2737,Finland,     Morocco,2,W-12,Diesel engine,2008,2011,2,For 1 OPV-70 OPV from France
2738,Finland,     NATO**,1,Boeing-757-200,Transport aircraft,2012,2012,1,Second-hand; Boeing-757-28A version; owned and operated by civilian company for lease to NATO
2739,Finland,     Netherlands,90,XA-180,APC,1997,1998-1999,90,$82 m deal (offsets 100%); XA-188 version; incl 7 ambulance version; incl for use with peacekeeping forces
2741,Finland,     New Zealand,2,W-18,Diesel engine,2000,2007,2,For 1 MRV (Canterbury)
2742,Finland,     Norway,18,XA-180,APC,1991,1991,18,Leased from producer for Norwegian peacekeeping forces
2747,Finland,     Portugal,12,W-12,Diesel engine,2002,2010-2019,8,For 6 Viana do Castelo (NPO-2000) OPV produced in Portugal
2748,Finland,     Saudi Arabia,36,NEMO 120mm,Mortar turret,2011,2012-2015,36,EUR100 m deal; for 36 Piranha (LAV-2) mortar carriers from Canada;
2749,Finland,     Soviet Union,3,Pevek,Tanker,1958,1960,3,
2754,Finland,     Sweden,4,XA-180,APC,1987,1988,4,$1.2 m deal; for Swedish UN forces in Lebanon
2758,Finland,     UAE,6,NEMO 120mm,Mortar turret,2009,2013-2015,6,For modification of 6 Ghannatha transport craft to fire support craft
2759,Finland,     United Kingdom,8,6L46,Diesel engine,2012,2017-2019,8,For 4 Tide oilers from South Korea
2760,Finland,     United Nations**,12,XA-180,APC,1990,1991,12,For use by UN forces in Lebanon
2763,FMLN (El Salvador)*, Nicaragua,17,Strela-3/SA-14,Portable SAM,1991,1991,17,Returned by FMLN to Nicaragua after peace agreement in El Salvador
2766,France, Denmark,9,FLASH,ASW sonar,2019,,,ASQ22 ALFS version; for 9 MH-60R ASW helicopters from USA; probably from US production line
2767,France,     Kenya,12,Bastion,APC/APV,2018,2018,12,Financed by USA
2768,France,     Qatar,16,NH-90 TTH,Transport helicopter,2018,,,Part of EUR3 b deal; delivery planned 2022-2025
2769,France,     Rwanda,2,DC-3/C-47 Skytrain,Transport aircraft,1974,1975,2,Second-hand
2770,France,     Argentina,48,MS-760 Paris,Light transport ac,1958,1959-1964,48,36 assembled from kits in Argentina; incl for training and combat role
2773,France,     Australia,110,Mirage-3E,FGA aircraft,1961,1963-1968,110,"Incl 50 Mirage-3OF, 50 Mirage-3OA and 10 Mirage-3OD versions; 108 assembled/produced in Australia; Australian designation CA-29"
2780,France,     Austria,22,RAC-3D,Air search radar,1995,1997-1999,22,Part of $129 m deal (offsets $344 m); incl for use with Mistral SAM
2781,France,     Belgium,554,AMX-VCI,APC,1962,1963-1969,554,Incl some tank destroyer version; incl production in Belgium
2786,France,     Brazil,41,AS-350/AS-550 Fennec,Light helicopter,1977,1979-1987,41,"Assembled/produced in Brazil as HB-350B Esquilo; incl some for training; Brazilian designation CH-50, TH-50 and UH-12"
2799,France,     Canada,5,Sperwer,UAV,2006,2006,5,CAD15 m deal; assembled from kits in Canada
2800,France,     Chile,2,BATRAL,Landing ship,1980,1983-1986,2,Chilean designation Maipo
2801,France,     China,50,Crotale,SAM system,1978,1988-1998,50,Chinese designation HQ-7 and FM-80; produced in China (possibly without French licence for production as illegally copied from few systems delivered by France for evaluation in 1970s)
2817,France,     Czechia,62,TITUS,APC,2019,,,CZK6b ($264 m) deal (produced in Czech Republic); incl. 40 command post and 20 fire control versions; delivery planned 2022-2023
2818,France,     Denmark,140,MW-50 120mm,Mortar,1960,1962-1965,140,Danish designation M/50 Fa
2819,France,     Ecuador,125,R-550 Magic-1,SRAAM,1977,1979-1982,125,For Mirage F-1 combat aircraft
2820,France,     Egypt,45,Alpha Jet,Trainer/combat ac,1981,1982-1985,45,Incl 37 assembled in Egypt (incl production of components in Egypt); incl 30 MS-1 and 15 MS-2 version
2823,France,     Finland,80,CM-170 Magister,Trainer aircraft,1958,1959-1967,80,Incl 62 assembled/produced in Finland; no. could be 82
2825,France,     Germany,250,CM-170 Magister,Trainer aircraft,1956,1957-1962,250,Most assembled/produced in FRG
2834,France,     Greece,6,Combattante-3,FAC,1978,1980-1981,6,Greek designation Kavaloudis
2837,France,     India,6,Palmier,Air search radar,1960,1962-1970,6,Part of 'ADGES' air surveillance network
2860,France,     Indonesia,9,SA-330 Puma,Helicopter,1977,1978-1984,9,NAS-330J version; assembled from kits in Indonesia
2864,France,     Israel,130,CM-170 Magister,Trainer aircraft,1957,1960-1967,130,Most assembled/produced in Israel (incl 16 from kits from FRG production line)
2866,France,     Italy,18,Atlantic,ASW aircraft,1968,1971-1973,18,Incl production of components in Italy
2867,France,     Japan,26,16PC2.5,Diesel engine,1976,1978-2001,26,"For 10 Soya, 2 Mizuho and 1 Shikishima OPV produced in Japan"
2870,France,     Kazakhstan,20,Ground Master-400,Air search radar,2014,2014-2018,2,Incl production in Kazakhstan
2871,France,     Madagascar,1,BATRAM,Landing ship,1973,1974,1,Aid; assembled/produced in Madagascar; Malagas designation Toky
2872,France,     Malaysia,6,Gowind-2500,Frigate,2014,,,'SGVP-LCS' programme; Malaysian designation Maharaja Lela; delivery planned from 2023 (delayed from 2019)
2873,France,     Netherlands,77,SA-316B Alouette-3,Light helicopter,1963,1964-1969,77,Incl some assembled in Netherlands
2874,France,     Norway,7,TSM-2633 Spherion,ASW sonar,1984,1988-1990,7,NOK94 m deal; for modernization of 5 Oslo frigates and 2 Sleipner corvettes
2876,France,     Pakistan,2,Agosta-90B,Submarine,1994,1999-2003,2,Part of $750 m deal (+ $200 m for modernization of Pakistan Naval Dockyard to build submarines; 1 assembled/produced in Pakistan); Pakistani designation Khalid
2878,France,     Portugal,2,EDIC,Landing craft,1968,1969-1970,2,Portugese designation Bombarda
2881,France,     Romania,122,SA-316B Alouette-3,Light helicopter,1970,1972-1994,122,Romanian designation IAR-316B; incl some for ASW
2884,France,     Saudi Arabia,39,HSI-32,Patrol craft,2018,2019,3,Incl production of 18 in Saudi Arabia
2885,France,     Singapore,20,AS-350/AS-550 Fennec,Light helicopter,1990,1991-1992,20,Assembled from kits in Singapore; incl 10 AS-550A2 with 20mm gun and 10 AS-550C2 with TOW anti-tank missiles
2887,France,     South Africa,500,AML-60/90,Armoured car,1961,1963-1967,500,150 AML-90 and 350 AML-60 version; South African designation Eland-90 Mk-2 and Eland-60 Mk-2
2891,France,     South Korea,12,12PA6,Diesel engine,1976,1978-1982,12,For 6 Sea Dragon (Whale) OPV produced in South Korea
2896,France,     Spain,3,EDIC,Landing craft,1965,1966,3,Spanish designation BDK-6
2910,France,     Sweden,170,Model-50 155mm,Towed gun,1955,1956-1959,170,Produced in Sweden; Swedish designation FH-15.5cm or Type-F
2916,France,     Switzerland,56,Mirage-3E,FGA aircraft,1961,1963-1970,56,$274 m deal; incl 18 Mirage-3RS reconnaissance and 2 Mirage-3BS version; 51 produced in Switzerland
2918,France,     Thailand,1,Sichang,Landing ship,1984,1987,1,$17 m deal; Thai designation Sichang
2920,France,     Turkey,12,EDIC,Landing craft,1965,1966-1973,12,Turkish designation C-107
2923,France,     UAE,4,Baynunah,Corvette,2003,2011-2015,4,$500-545 m 'Project Baynunah' (incl $205 m for French shipyard); 3 assembled in UAE
2925,France,     United Kingdom,40,SA-330 Puma,Helicopter,1967,1969-1972,40,Deal incl in 'Anglo-French Helicopter Agreement' for joint production and development of helicopters; SA-330E version; UK designation Puma HC-1
2930,France,     United States,2500,Marbore,Turbojet,1952,1957-1973,2500,For T-37 trainer aircraft produced in USA; US designation J-69
2939,France,     Yugoslavia,1,Sirius,Minesweeper,1957,1960,1,Yugoslav designation Hrabi
2942,France,     Albania,4,AS-532 Cougar/AS-332,Transport helicopter,2009,2012-2014,4,AS-532AL armed version
2943,France,     Algeria,44,AMX-13/75,Light tank,1962,1962,44,Probably Second-hand
2955,France,     Angola,6,SA-316B Alouette-3,Light helicopter,1979,1980,6,
2964,France,     Argentina,5,Djinn,Light helicopter,1955,1956,5,
3016,France,     Australia,500,ENTAC,Anti-tank missile,1962,1963-1964,500,
3032,France,     Austria,72,AMX-13/75,Light tank,1955,1956-1957,72,
3042,France,     Bahrain,23,AML-60/90,Armoured car,1977,1978-1980,23,AML-90 version
3050,France,     Bangladesh,6,CM-170 Magister,Trainer aircraft,1977,1977,6,"Second-hand aircraft sold back to French producer, rebuilt to CM-170-2 version and sold to Bangladesh"
3061,France,     Belgium,1000,SS-10,Anti-tank missile,1956,1957-1958,1000,
3091,France,     Benin,2,DC-3/C-47 Skytrain,Transport aircraft,1960,1961,2,Second-hand; aid
3105,France,     Bhutan,2,EC130,Light helicopter,2015,2015-2016,2,USD7.3 m deal; H-130 (EC-130T2) version; incl for civilian roles
3106,France,     Biafra,1,B-26 Invader,Bomber aircraft,1967,1967,1,Second-hand; B-26C version
3108,France,     Bolivia,3,SA-315B Lama,Light helicopter,1974,1975,3,
3115,France,     Botswana,2,AS-350/AS-550 Fennec,Light helicopter,1984,1985,2,
3125,France,     Brazil,30,MS-760 Paris,Light transport ac,1959,1960-1961,30,Brazilian designation C-41
3164,France,     Brunei,16,SS-12M,Anti-ship missile,1970,1972,16,For modernized Soloven (Pahlawan) Class FAC
3172,France,     Bulgaria,12,AS-532 Cougar/AS-332,Transport helicopter,2005,2006-2010,12,Part of EUR358 m deal (offsets EUR354 incl EUR105 m indirect); AS-532AL armed version; incl 4 for CSAR; option on 7 more
3174,France,     Burkina Faso,4,M-20,Reconnaissance AV,1960,1961,4,Second-hand; aid
3192,France,     Burundi,12,AML-60/90,Armoured car,1965,1966,12,AML-60 and AML-90 version
3201,France,     Cambodia,15,M-3A1 Scout Car,APC/APV,1953,1954-1955,15,Second-hand; aid
3221,France,     Cameroon,3,MH-1521 Broussard,Light aircraft,1960,1961,3,Second-hand; gift
3252,France,     Canada,2000,ENTAC,Anti-tank missile,1959,1960-1963,2000,
3261,France,     Central African Republic,1,Bell-47/OH-13,Light helicopter,1961,1961,1,Second-hand
3273,France,     Chad,1,DC-3/C-47 Skytrain,Transport aircraft,1960,1961,1,Second-hand; aid
3298,France,     Chile,1,Almirante Montt,Support ship,1953,1956,1,
3343,France,     China,15,SA-316B Alouette-3,Light helicopter,1967,1967,15,FFR20 m deal
3356,France,     Colombia,123,AM-50 120mm,Mortar,1970,1970-1975,123,
3368,France,     Comoros,1,AS-350/AS-550 Fennec,Light helicopter,1986,1987,1,
3369,France,     Congo,1,DC-3/C-47 Skytrain,Transport aircraft,1960,1960,1,Second-hand; aid
3382,France,     Cote d'Ivoire,1,DC-3/C-47 Skytrain,Transport aircraft,1961,1962,1,Second-hand; aid
3416,France,     Cyprus,1,TRS-2215/2230,Air search radar,1980,1983,1,TRS-2215 version
3442,France,     Denmark,5,SA-316B Alouette-3,Light helicopter,1961,1962,5,
3452,France,     Djibouti,1,Noratlas,Transport aircraft,1977,1977,1,Second-hand; loan
3469,France,     Dominican Republic,15,AMX-13/75,Light tank,1957,1958,15,
3475,France,     DR Congo,5,SA-313B Alouette-2,Light helicopter,1964,1965,5,SA-318C version
3491,France,     Ecuador,27,AML-60/90,Armoured car,1970,1971-1972,27,Incl 12 AML-60-7 and 15 AML-90 version
3528,France,     Egypt,30,AMX-13/75,Light tank,1953,1955,30,
3577,France,     El Salvador,1,SA-316B Alouette-3,Light helicopter,1973,1973,1,For VIP transport
3583,France,     Estonia,21,DRPT-5 Rasit,Ground surv radar,1996,1998-1999,21,
3589,France,     Ethiopia,4,SA-313B Alouette-2,Light helicopter,1965,1965-1968,4,
3596,France,     Fiji,1,AS-350/AS-550 Fennec,Light helicopter,1990,1990,1,
3598,France,     Finland,200,SS-11,Anti-tank missile,1961,1962-1963,200,Finnish designation RO-63
3605,France,     Gabon,4,M-101A1 105mm,Towed gun,1960,1961,4,Second-hand
3645,France,     Georgia,2,Ground Master-200,Air search radar,2015,2018,2,
3648,France,     Germany,2,Angeln,Cargo ship,1954,1959,2,Second-hand
3668,France,     Ghana,4,SA-316B Alouette-3,Light helicopter,1973,1974,4,
3671,France,     Greece,8,SA-313B Alouette-2,Light helicopter,1966,1967,8,$0.87 m deal; SA-318C version
3715,France,     Guatemala,8,AMX-13/75,Light tank,1972,1974,8,"Second-hand vehicles returned to French producer, modernized and sold to Guatemala"
